ID,Nombre,Categoria,Estrellas,Reseñas,Sitio,Telefono,Oportunidad_MXN,Prioridad
1,Mochomos,Restaurante,4.5,245,tiene,+52 81 8333 3293,25000-35000,ALTA
2,Pangea,Restaurante,4.6,312,tiene,+52 81 8338 1111,25000-40000,ALTA
3,El Lugar de la Noche,Restaurante,4.2,89,tiene,+52 81 8120 8888,18000-25000,MEDIA
4,Feria del Taco,Restaurante,4.3,156,tiene,+52 81 8347 7777,12000-18000,MEDIA
5,Boca de Oro,Restaurante,4.4,201,tiene,+52 81 8350 0000,20000-28000,ALTA
6,El Grillo Taquería,Restaurante,4.0,342,tiene,+52 81 8366 6666,10000-15000,MEDIA
7,La Hamburguesa,Restaurante,4.1,178,tiene,+52 81 8352 2222,12000-18000,MEDIA
8,Pastelería D'Angelo,Panadería,4.5,89,no,+52 81 8330 1234,15000-20000,ALTA
9,Vinos y Algo Más,Tienda,4.6,234,tiene,+52 81 8335 5555,18000-25000,ALTA
10,Café Punta del Cielo,Cafetería,4.3,567,tiene,+52 81 8366 3333,12000-18000,BAJA
11,El Tapanco,Restaurante,4.4,234,tiene,+52 81 8345 6789,15000-20000,MEDIA
12,Foster's Hollywood,Restaurante,4.0,123,tiene,+52 81 8336 6666,8000-12000,BAJA
13,Ferretería San Pedro,Ferretería,4.2,45,no,+52 81 8370 1111,15000-20000,ALTA
14,Taller de Muebles de Diseño,Muebles,4.7,34,no,+52 81 8123 4567,25000-40000,ALTA
15,Florería Las Rosas,Florería,4.5,67,no,+52 81 8380 2222,12000-18000,MEDIA
16,Panadería La Espiga Dorada,Panadería,4.4,123,no,+52 81 8390 3333,14000-18000,MEDIA
17,Dra. María González,Dentista,4.8,56,no,+52 81 8123 8888,35000-50000,ALTA
18,Taller Reparación Autos Rodríguez,Servicio Automotriz,4.3,78,no,+52 81 8123 4444,15000-20000,MEDIA
19,Boutique Elegancia,Tienda de Ropa,4.6,45,no,+52 81 8123 5555,22000-35000,ALTA
20,Joyería El Tesoro,Joyería,4.4,34,no,+52 81 8123 6666,25000-35000,ALTA
21,Sushi Bar Nikkei,Restaurante,4.2,167,no,+52 81 8123 7777,18000-25000,MEDIA
22,Pizzería Arte,Restaurante,4.1,89,no,+52 81 8123 8888,12000-18000,MEDIA
23,Tacos del Norte,Restaurante,4.3,234,no,+52 81 8123 9999,10000-15000,MEDIA
24,Café del Bosque,Cafetería,4.5,123,no,+52 81 8123 0000,14000-18000,MEDIA
25,Heladería San Pedro,Heladería,4.6,156,no,+52 81 8123 1111,12000-16000,MEDIA
26,Papelería Creativa,Papelería,4.4,45,no,+52 81 8123 2222,10000-14000,MEDIA
27,Librería El Quijote,Librería,4.7,67,no,+52 81 8123 3333,15000-20000,MEDIA
28,Veterinaria Los Pinos,Veterinaria,4.5,89,no,+52 81 8123 4444,15000-20000,MEDIA
29,Farmacia San Pedro,Farmacia,4.3,123,no,+52 81 8123 5555,12000-18000,BAJA
30,Tortillería San Pedro,Tortillería,4.2,67,no,+52 81 8123 6666,8000-12000,BAJA
31,Carnicería Premium,Carnicería,4.6,45,no,+52 81 8123 7777,12000-18000,MEDIA
32,Frutería del Valle,Frutería,4.4,78,no,+52 81 8123 8888,10000-14000,MEDIA
33,Lavandería Express San Pedro,Lavandería,4.1,34,no,+52 81 8123 9999,12000-16000,MEDIA
34,Limpieza Alfombras Pro,Limpieza,4.5,23,no,+52 81 8123 0001,15000-20000,MEDIA
35,Taller Costura La Moda,Costura,4.6,45,no,+52 81 8123 0002,12000-18000,MEDIA
36,Reparación Celulares San Pedro,Servicio Técnico,4.2,56,no,+52 81 8123 0003,15000-20000,MEDIA
37,Pintura Profesional,Pintura,4.4,34,no,+52 81 8123 0004,18000-25000,MEDIA
38,Jardinería El Paraíso,Jardinería,4.5,23,no,+52 81 8123 0005,14000-18000,MEDIA
39,Cerrajería San Pedro,Cerrajería,4.3,45,no,+52 81 8123 0006,12000-16000,MEDIA
40,Mudanzas San Pedro,Mudanzas,4.1,34,no,+52 81 8123 0007,15000-20000,MEDIA
41,Peluquería Canina San Pedro,Servicio Mascotas,4.6,67,no,+52 81 8123 0008,12000-18000,MEDIA
42,Academia de Música San Pedro,Música,4.7,23,no,+52 81 8123 0009,15000-25000,MEDIA
43,Yoga Shala San Pedro,Yoga,4.8,45,no,+52 81 8123 0010,18000-25000,ALTA
44,CrossFit San Pedro,Gimnasio,4.5,123,no,+52 81 8123 0011,20000-30000,ALTA
45,Estudio Danza Ballet,Baile,4.6,34,no,+52 81 8123 0012,15000-20000,MEDIA
46,Centro de Nutrición,Nutrición,4.7,56,no,+52 81 8123 0013,20000-30000,ALTA
